"Region","mean_no2","mean_pm10","mean_pm25"
"East Midlands",28.0130588235294,18.03005,10.803380952381
"East of England",24.6524651162791,16.7969047619048,11.4647777777778
"London",35.3918666666667,19.6451428571429,11.0776923076923
"NA",24.9672027027027,13.4270784313725,7.96231111111111
"North East",18.6927307692308,14.2787857142857,9.03519047619048
"North West",24.1882,15.2853571428571,9.728
"South East",20.8137125,16.9699583333333,11.0166349206349
"South West",28.03706,16.96788,10.2722058823529
"Wales",23.5224473684211,16.2346857142857,10.3995135135135
"West Midlands",24.2535227272727,16.7990833333333,11.0314827586207
"Yorkshire and The Humber",28.3188474576271,17.4009142857143,11.4878857142857
