"Actual","Predicted"
22700,22085.5281085198
26500,18765.0159672802
22100,20981.7133803509
27100,22153.6885888247
12800,20930.9222169683
26500,18959.6123472643
20600,19644.0452953196
19400,21520.2795577676
22700,21323.6547034064
25300,19059.3665416158
27100,20224.3770929269
19400,21569.5439075777
26500,22459.5667794837
25300,17740.7274293632
12800,19806.9897889287
18200,22505.4188178312
12800,19864.5329369283
20600,19621.5136198223
19400,21964.0146328682
25300,22338.495603581
22100,21005.7255050392
25300,20380.0052530286
26500,19928.7424769779
25300,20209.4792867393
26500,20023.6530880594
25300,21538.7949185339
20600,19938.0386682133
18200,20972.7393507849
22700,21705.206720911
18200,21813.8838817967
12800,18112.0451545622
20600,21420.7567870849
22700,21703.2124565756
26500,20019.6021000145
26500,21925.2894492935
22100,21631.5919763702
12800,21039.4143998473
26500,20839.1821411901
19400,21748.2903312987
25300,18658.1405532757
26500,22396.9173465152
27100,27173.876429144
25300,25728.5616917439
12800,20721.0258770828
20600,20150.9512053155
25300,22739.8055740425
22100,20102.0337229133
25300,20602.6768264399
25300,21155.4193292955
25300,20595.6254219714
18200,21420.1068386827
22700,20903.5935898021
12800,20114.9222707518
20600,22205.1138787147
22700,22469.6122930078
12800,20380.5579544127
22100,21236.0817104062
12800,20434.4875514829
26500,19704.4907236668
19400,21114.8852661127
25300,18322.0322049696
19400,21389.612127917
26500,22024.0020725064
27100,26929.1537504014
25300,25369.4973032249
12800,20012.0085428049
20600,20048.6024629607
25300,23553.8248205741
22100,19491.4000730701
25300,20092.868317927
25300,20588.764969891
25300,20730.7521401973
18200,20930.0174681873
22700,23601.0802101139
12800,19822.8409506371
20600,21377.9340200034
22700,22376.7394339399
12800,20072.1411692247
22100,21616.075735517
12800,19119.9094983795
26500,20881.3440100748
19400,21504.7532914681
25300,19378.2362290869
19400,21367.0918384922
26500,26979.201397044
27100,27196.9698204547
25300,25516.3960709754
12800,20278.6630096907
20600,19743.6959572028
25300,24407.695367763
22100,20512.4759102277
25300,19838.8955127329
25300,22196.9566960302
25300,22126.117856153
18200,20433.6663966687
22700,22443.5998012223
12800,20679.2971061416
20600,22226.3943395211
22700,21763.4870444954
12800,20397.6413559905
22100,21799.9208292337
12800,19793.1900270777
26500,20059.4919199665
19400,21818.9072357205
22700,22931.5347723001
19400,21014.5852575758
26500,26698.4158931232
27100,27202.8905022943
25300,25099.630503225
12800,20926.7576960607
20600,20021.0289511659
25300,23674.6436813342
22100,21963.9651791139
25300,20983.740817878
25300,22824.0196796425
25300,22404.6173038322
18200,20620.3207918724
22700,21950.2781647668
12800,20750.9517143008
20600,21590.3911128295
22700,21931.3086939253
12800,20050.0694453065
22100,22473.496659689
12800,20945.6154612945
26500,19353.3915392521
19400,21121.0557064015
22700,20943.417443816
19400,20170.2441076094
26500,26137.3710908194
27100,27100
25300,24612.8328232121
12800,19923.9138510873
20600,19299.0527483671
25300,23377.6873884686
22100,21333.6516992736
25300,22357.4456591913
25300,22287.5936269716
25300,22798.494053649
18200,20607.6236882105
22700,21684.5928885189
12800,19735.2439910756
20600,20995.0989548372
22700,22337.8160366391
12800,20595.9273197324
26500,19966.4031628091
22100,22130.7878627982
12800,20872.8546090691
26500,19486.3192739001
19400,21570.4701899317
22700,22064.6502878867
25300,19404.6971011392
19400,20544.6725002114
26500,26185.0116190134
27100,26701.6996600255
25300,25197.4641919825
12800,20033.9742554862
20600,20089.5164692163
25300,22499.3768313547
22100,21510.209057287
25300,21129.9350797692
26500,21529.8309246283
25300,22531.3240173998
25300,22005.6374350892
20600,21734.2653903149
18200,20806.3964296136
22700,22978.9649110225
18200,23098.8859938801
12800,19272.3646058727
20600,21290.5922729026
22700,21897.8027687883
12800,20272.4603562214
12800,19959.2592804145
22100,21172.3245546182
12800,20590.769872222
26500,22390.6451835672
19400,21468.3658725124
25300,18272.8462066492
19400,22801.0000941668
26500,23295.5276979064
27100,27395.4098376802
25300,25575.6174156364
12800,20520.6167951545
20600,21009.1472018059
25300,22387.3275432531
22100,19821.52873639
25300,20471.2791825161
25300,20480.7882863375
25300,20553.4556748038
18200,21075.6189391186
22700,20331.3579435551
12800,20265.7592004881
20600,21340.3387282636
22700,21174.877360145
12800,19611.9606229084
