"year","pollutant","concentration"
2010,"pm10_avg",18.8547894736842
2010,"pm25_avg",12.4799347826087
2010,"no2_avg",28.5183698630137
2013,"pm10_avg",17.6967361111111
2013,"pm25_avg",12.1555974025974
2013,"no2_avg",23.3832136752137
2014,"pm10_avg",16.9785098039216
2014,"pm25_avg",11.4276607142857
2014,"no2_avg",22.9042804878049
2015,"pm10_avg",15.8643076923077
2015,"pm25_avg",9.75260714285714
2015,"no2_avg",22.4256627906977
2016,"pm10_avg",15.9987884615385
2016,"pm25_avg",9.94944642857143
2016,"no2_avg",23.6611333333333
2017,"pm10_avg",15.3008301886792
2017,"pm25_avg",9.66605263157895
2017,"no2_avg",22.2064742268041
2018,"pm10_avg",16.0151153846154
2018,"pm25_avg",9.631
2018,"no2_avg",21.3654
2019,"pm10_avg",15.5470701754386
2019,"pm25_avg",9.60386440677966
2019,"no2_avg",21.0052475247525
2020,"pm10_avg",14.6443392857143
2020,"pm25_avg",8.03130357142857
2020,"no2_avg",18.6294565217391
